"SYMBOL","logFC","adj.P.Val","GENENAME"
"SSH1",1.26643502669231,2.11210355613399e-10,"slingshot protein phosphatase 1"
"PDP1",1.11509771833333,2.11700921204948e-10,"pyruvate dehydrogenase phosphatase catalytic subunit 1"
"KRT23",2.20655143082051,2.11700921204948e-10,"keratin 23"
"DOCK4",1.50163688435897,2.12211113294775e-10,"dedicator of cytokinesis 4"
"ECT2",2.18367353864102,2.12211113294775e-10,"epithelial cell transforming 2"
"LBH",1.46008855323077,2.20395461274316e-10,"LBH regulator of Wnt signaling pathway"
"LEF1",2.75342766333333,2.24216769986247e-10,"lymphoid enhancer binding factor 1"
"RCN3",1.21191842707693,2.24216769986247e-10,"reticulocalbin 3"
"EFEMP2",1.02774159369231,2.30309873604044e-10,"EGF-like fibulin extracellular matrix protein 2"
"CKLF-CMTM1",1.58345538138462,2.31152937515031e-10,"CKLF-CMTM1 readthrough"
"TRIB2",1.85306002023076,2.33443765670592e-10,"tribbles pseudokinase 2"
"YWHAH",1.07460143605128,2.34294822553984e-10,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta"
"KIAA0930",1.20014342792308,2.37613314291513e-10,"KIAA0930"
"PRSS23",1.40751155861539,2.40787353205206e-10,"serine protease 23"
"UTP25",1.07690752923077,2.5594770130245e-10,"UTP25 small subunit processome component"
"IGFBP4",1.66456825135898,2.66960958869962e-10,"insulin like growth factor binding protein 4"
"TMEM43",1.06393674171795,2.74649960279099e-10,"transmembrane protein 43"
"DBN1",1.09487072433333,2.78277166253169e-10,"drebrin 1"
"FXYD5",1.77808228535897,2.78651291922769e-10,"FXYD domain containing ion transport regulator 5"
"TRIM29",2.00085653194872,2.8766740825971e-10,"tripartite motif containing 29"
"BIK",1.63487443289744,2.88561302047897e-10,"BCL2 interacting killer"
"GALNS",1.03951968058974,2.95372424685855e-10,"galactosamine (N-acetyl)-6-sulfatase"
"APOL1",1.11856760738462,2.98381080121774e-10,"apolipoprotein L1"
"SFXN3",1.01501658848718,3.08914345610611e-10,"sideroflexin 3"
"IL1RAP",1.00316641392308,3.12724651618163e-10,"interleukin 1 receptor accessory protein"
"CLIC1",1.31270857041025,3.12724651618163e-10,"chloride intracellular channel 1"
"TM6SF1",1.5220713135641,3.21601470788313e-10,"transmembrane 6 superfamily member 1"
"KLF7",1.14985170353846,3.21732953142368e-10,"KLF transcription factor 7"
"ISG15",1.84431358061538,3.31980591982722e-10,"ISG15 ubiquitin like modifier"
"ZNF365",1.11774069069231,3.36054483316837e-10,"zinc finger protein 365"
"MPZL2",1.58015141133333,3.44234006441829e-10,"myelin protein zero like 2"
"PXMP2",-1.049776141,3.67470672381099e-10,"peroxisomal membrane protein 2"
"IFITM3",1.27004634056411,3.78111333425722e-10,"interferon induced transmembrane protein 3"
"FHL2",1.94083541466667,3.80947155655164e-10,"four and a half LIM domains 2"
"CFHR1",2.09349744212821,3.85075337560009e-10,"complement factor H related 1"
"CFH",2.09349744212821,3.85075337560009e-10,"complement factor H"
"DKK1",2.30661726453846,3.90054703092539e-10,"dickkopf Wnt signaling pathway inhibitor 1"
"GSTA3",-1.33964056407692,3.90561994108094e-10,"glutathione S-transferase alpha 3"
"CXCL8",3.23936651979487,4.0790412876793e-10,"C-X-C motif chemokine ligand 8"
"CST2",1.80213341653846,4.0790412876793e-10,"cystatin SA"
"HK1",1.50010028853846,4.20414304075892e-10,"hexokinase 1"
"ITGB1BP1",1.09054000507692,4.33984782240696e-10,"integrin subunit beta 1 binding protein 1"
"ANKRD10",1.01968820525641,4.44524799051864e-10,"ankyrin repeat domain 10"
"ZEB1",1.73146884497436,4.69338840843437e-10,"zinc finger E-box binding homeobox 1"
"STK38",1.27451806123077,4.70931173689753e-10,"serine/threonine kinase 38"
"ATXN1",1.11963777241026,4.74113458612934e-10,"ataxin 1"
"C3",2.30940652015384,4.74113458612934e-10,"complement C3"
"PLXNA1",1.28903662702564,4.89801681420857e-10,"plexin A1"
"TUBA1A",1.3202965414359,4.91156611727112e-10,"tubulin alpha 1a"
"GPR137B",1.8099524074359,5.14370841735898e-10,"G protein-coupled receptor 137B"
"GPX1",1.25388376115385,5.20332405180006e-10,"glutathione peroxidase 1"
"SPTAN1",1.02226364546154,5.28401107719129e-10,"spectrin alpha, non-erythrocytic 1"
"PNMA1",1.7123323536923,5.28401107719129e-10,"PNMA family member 1"
"ALDH6A1",-1.10733627269231,5.32477788921467e-10,"aldehyde dehydrogenase 6 family member A1"
